fdc_id,description,food_category_id,nutrient_id,name,amount,unit_name,food_category_label
167762,"Strawberries, raw",9,1167,Niacin,0.386,MG,fruit
167762,"Strawberries, raw",9,1170,Pantothenic acid,0.125,MG,fruit
167762,"Strawberries, raw",9,1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG,fruit
167762,"Strawberries, raw",9,1178,Vitamin B-12,0.0,UG,fruit
167762,"Strawberries, raw",9,1180,"Choline, total",5.7,MG,fruit
167762,"Strawberries, raw",9,1186,Folic acid,0.0,UG,fruit
167762,"Strawberries, raw",9,1210,Tryptophan,0.008,G,fruit
167762,"Strawberries, raw",9,1211,Threonine,0.02,G,fruit
167762,"Strawberries, raw",9,1212,Isoleucine,0.016,G,fruit
167762,"Strawberries, raw",9,1213,Leucine,0.034,G,fruit
167762,"Strawberries, raw",9,1214,Lysine,0.026,G,fruit
167762,"Strawberries, raw",9,1215,Methionine,0.002,G,fruit
167762,"Strawberries, raw",9,1217,Phenylalanine,0.019,G,fruit
167762,"Strawberries, raw",9,1219,Valine,0.019,G,fruit
167762,"Strawberries, raw",9,1220,Arginine,0.028,G,fruit
167762,"Strawberries, raw",9,1221,Histidine,0.012,G,fruit
167762,"Strawberries, raw",9,1229,Cysteine and methionine(sulfer containig AA),0.0,G,fruit
167762,"Strawberries, raw",9,1230,Phenylalanine and tyrosine (aromatic  AA),0.0,G,fruit
167762,"Strawberries, raw",9,1272,PUFA 22:6 n-3 (DHA),0.0,G,fruit
167762,"Strawberries, raw",9,1278,PUFA 20:5 n-3 (EPA),0.0,G,fruit
167762,"Strawberries, raw",9,1316,"PUFA 18:2 n-6 c,c",0.0,G,fruit
167762,"Strawberries, raw",9,1404,"PUFA 18:3 n-3 c,c,c (ALA)",0.0,G,fruit
167765,"Watermelon, raw",9,1003,Protein,0.61,G,fruit
167765,"Watermelon, raw",9,1004,Total lipid (fat),0.15,G,fruit
167765,"Watermelon, raw",9,1005,"Carbohydrate, by difference",7.55,G,fruit
167765,"Watermelon, raw",9,1008,Energy,30.0,KCAL,fruit
167765,"Watermelon, raw",9,1087,"Calcium, Ca",7.0,MG,fruit
167765,"Watermelon, raw",9,1088,"Chlorine, Cl",0.0,MG,fruit
167765,"Watermelon, raw",9,1089,"Iron, Fe",0.24,MG,fruit
167765,"Watermelon, raw",9,1090,"Magnesium, Mg",10.0,MG,fruit
167765,"Watermelon, raw",9,1091,"Phosphorus, P",11.0,MG,fruit
167765,"Watermelon, raw",9,1092,"Potassium, K",112.0,MG,fruit
167765,"Watermelon, raw",9,1093,"Sodium, Na",1.0,MG,fruit
167765,"Watermelon, raw",9,1095,"Zinc, Zn",0.1,MG,fruit
167765,"Watermelon, raw",9,1098,"Copper, Cu",0.042,MG,fruit
